,Borough,Neighborhood,ID,Name,Category,Venue_lat,Venue_lng
97,Queens,Sunnyside,57346238498e19234e93e838,Thai Diva Cuisine,Thai Restaurant,40.74145191465704,-73.91904537430251
98,Queens,Rego Park,4bc90857937ca5936d19a592,Thai Pot,Thai Restaurant,40.72472006801557,-73.85001317851223
99,Queens,Woodhaven,4b6b6ee9f964a5207f082ce3,Thailand Kitchen Corp.,Thai Restaurant,40.69265417236722,-73.8579874136706
100,Queens,South Ozone Park,505e482fe4b0ad0a3ed7c2e8,Nanking Asian fusion,Thai Restaurant,40.67464621915444,-73.80375934580849
101,Queens,Bayside,4b799160f964a52001022fe3,Erawan Thai Cuisine,Thai Restaurant,40.76179659002517,-73.77004981040953
102,Queens,Bayside,51ca39db498e3d72a5e15d8a,Thai 101,Thai Restaurant,40.764871819524046,-73.77159487681543
103,Queens,Auburndale,5415d184498ed5a1b577d16c,Thanya,Thai Restaurant,40.76623587799664,-73.78946469494464
104,Queens,Little Neck,4c02ca6a0d0e0f470aa9019a,Am Yours Cafe,Thai Restaurant,40.76535849539072,-73.74418224074361
105,Queens,Douglaston,4c02ca6a0d0e0f470aa9019a,Am Yours Cafe,Thai Restaurant,40.76535849539072,-73.74418224074361
106,Queens,Glen Oaks,4bb14694f964a520f5883ce3,Asian Bowl Thai Cuisine,Thai Restaurant,40.74237822027764,-73.72167563025961
107,Queens,Fresh Meadows,5ae3a6fda30619002c1490a9,Kin'd Thai,Thai Restaurant,40.73012666833984,-73.77841189617891
108,Queens,Jamaica Center,51cd0030498e1874e3954776,Amina Thai,Thai Restaurant,40.71089655510882,-73.79233007734564
109,Queens,Steinway,457d4c15f964a5201a3f1fe3,Thai Elephant,Thai Restaurant,40.77774433470393,-73.90880785699075
110,Queens,Steinway,595c10c61de76542ca750a50,San Aroy,Thai Restaurant,40.77493948201278,-73.91372844064065
111,Queens,Arverne,527ef74d11d257effa558059,Thai Kitchen By The Sea,Thai Restaurant,40.59082253627518,-73.79670566426822
112,Queens,Rockaway Beach,4de1791d52b1d38d29571891,Ode to the Elephants,Thai Restaurant,40.582931,-73.817617
113,Queens,Jamaica Estates,51cd0030498e1874e3954776,Amina Thai,Thai Restaurant,40.71089655510882,-73.79233007734564
114,Queens,Ravenswood,53701e2e498e0a21ab0bbb59,Pye Boat Noodle,Thai Restaurant,40.76032367528069,-73.92171077546482
115,Queens,Ravenswood,51f32456498e149384c052df,Enthaice,Thai Restaurant,40.76316509784422,-73.92114974055457
116,Queens,Ravenswood,4ab7badef964a5209d7a20e3,Leng Thai,Thai Restaurant,40.76129111573629,-73.92320684281553
117,Queens,Ravenswood,5a25fc1d9411f22a375e80d8,Hero Thai & Izakaya,Thai Restaurant,40.760529733200286,-73.92242730847313
118,Queens,Lefrak City,595fc2f0f427de4acf2675ea,Uthai Cookhouse,Thai Restaurant,40.728227000000004,-73.864049
119,Queens,Somerville,527ef74d11d257effa558059,Thai Kitchen By The Sea,Thai Restaurant,40.59082253627518,-73.79670566426822
120,Queens,Forest Hills Gardens,46b1ef0df964a520a0491fe3,Bangkok Cuisine,Thai Restaurant,40.72106157925685,-73.84543184469939
121,Staten Island,St. George,597780112d2fd94ba813df3f,Chang Noi Thai,Thai Restaurant,40.643692,-74.077957
122,Staten Island,Port Richmond,4b7c698af964a520bc912fe3,Forest Thai Cuisine,Thai Restaurant,40.626522775388366,-74.13037822911718
123,Staten Island,Tompkinsville,597780112d2fd94ba813df3f,Chang Noi Thai,Thai Restaurant,40.643692,-74.077957
124,Brooklyn,Ditmas Park,4f235fb4e4b04f6e681be393,AM Thai Bistro,Thai Restaurant,40.646809999999995,-73.9701623
